grupo	nome	destino	origem	verificacao	tamanho_aprox	licenca
modelo	Qwen3-8B-Q4_K_M.gguf	Studio\app\llm-models	hf:unsloth/Qwen3-8B-GGUF/Qwen3-8B-Q4_K_M.gguf	hf-api-sha256	5.0 GB	Apache-2.0
modelo	Qwen3-1.7B-Q4_K_M.gguf	Studio\app\llm-models	hf:unsloth/Qwen3-1.7B-GGUF/Qwen3-1.7B-Q4_K_M.gguf	hf-api-sha256	1.1 GB	Apache-2.0
modelo	Qwen3-14B-Q4_K_M.gguf	Studio\app\llm-models	hf:unsloth/Qwen3-14B-GGUF/Qwen3-14B-Q4_K_M.gguf	hf-api-sha256	8.4 GB	Apache-2.0
modelo	Qwen3.5-4B-Q4_K_M.gguf	Studio\app\llm-models	hf:unsloth/Qwen3.5-4B-GGUF/Qwen3.5-4B-Q4_K_M.gguf	hf-api-sha256	2.5 GB	Apache-2.0
modelo	Qwen3.5-4B-mmproj-F16.gguf	Studio\app\llm-models	hf:unsloth/Qwen3.5-4B-GGUF/mmproj-F16.gguf	hf-api-sha256	1.2 GB	Apache-2.0
modelo	qwen2.5-coder-7b-instruct-q4_k_m.gguf	Studio\app\llm-models	hf:Qwen/Qwen2.5-Coder-7B-Instruct-GGUF/qwen2.5-coder-7b-instruct-q4_k_m.gguf	hf-api-sha256	4.7 GB	Apache-2.0
modelo	medgemma-1.5-4b-it-Q4_K_M.gguf	Studio\app\llm-models	hf:unsloth/medgemma-1.5-4b-it-GGUF/medgemma-1.5-4b-it-Q4_K_M.gguf	hf-api-sha256	2.5 GB	HAI-DEF (uso proibido: ver Licencas)
voz	ggml-large-v3-turbo-q5_0.bin	Studio\app\speech-models	hf:ggerganov/whisper.cpp/ggml-large-v3-turbo-q5_0.bin	hf-api-sha256	0.6 GB	MIT
voz	pt_BR-cadu-medium (onnx+json)	Studio\app\tts-models\piper	hf:rhasspy/piper-voices/pt/pt_BR/cadu/medium/pt_BR-cadu-medium.onnx	hf-api-sha256	63 MB	MIT
voz	pt_BR-faber-medium (onnx+json)	Studio\app\tts-models\piper	hf:rhasspy/piper-voices/pt/pt_BR/faber/medium/pt_BR-faber-medium.onnx	hf-api-sha256	63 MB	MIT
voz	pt_BR-jeff-medium (onnx+json)	Studio\app\tts-models\piper	hf:rhasspy/piper-voices/pt/pt_BR/jeff/medium/pt_BR-jeff-medium.onnx	hf-api-sha256	63 MB	MIT
separar-voz	sherpa-onnx-pyannote-segmentation-3-0	Ferramentas\diarizacao	https://github.com/k2-fsa/sherpa-onnx/releases/download/speaker-segmentation-models/sherpa-onnx-pyannote-segmentation-3-0.tar.bz2	sha256-fixo:220ad67ca923bef2fa91f2390c786097bf305bceb5e261d4af67b38e938e1079:model.onnx	6 MB	MIT (modelo: pyannote, CC-BY)
separar-voz	3dspeaker eres2net base 16k (voz.onnx)	Ferramentas\diarizacao\voz.onnx	https://github.com/k2-fsa/sherpa-onnx/releases/download/speaker-recongition-models/3dspeaker_speech_eres2net_base_sv_zh-cn_3dspeaker_16k.onnx	sha256-fixo:1a331345f04805badbb495c775a6ddffcdd1a732567d5ec8b3d5749e3c7a5e4b	40 MB	Apache-2.0
acervo	wikipedia_pt_all_maxi	Kiwix\zim	kiwix:wikipedia	kiwix-sha256	40 GB	CC-BY-SA
acervo	wikisource_pt_all_maxi	Kiwix\zim	kiwix:wikisource	kiwix-sha256	5 GB	CC-BY-SA
acervo	wikipedia_en_medicine_maxi	Kiwix\zim	kiwix:wikipedia	kiwix-sha256	9 GB	CC-BY-SA
acervo	pt.stackoverflow.com_mul_all	Kiwix\zim	kiwix:stack_exchange	kiwix-sha256	1 GB	CC-BY-SA
acervo	wiktionary_pt_all_nopic	Kiwix\zim	kiwix:wiktionary	kiwix-sha256	1 GB	CC-BY-SA
acervo	wikipedia_pt_medicine_nopic	Kiwix\zim	kiwix:wikipedia	kiwix-sha256	0.3 GB	CC-BY-SA
acervo	devdocs (12 arquivos: python, javascript, typescript, react, node, postgresql, docker, bash, git, nextjs, html, css)	Kiwix\zim	kiwix:devdocs	kiwix-sha256	1 GB	varia por documentacao
